ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Cluster
458989,Female,Yes,36.0,Yes,Engineer,0.0,1.0,1.0,Cat_6,2
458994,Male,Yes,37.0,Yes,Healthcare,8.0,2.0,4.0,Cat_6,2
458996,Female,Yes,69.0,No,Artist,0.0,1.0,1.0,Cat_6,1
459000,Male,Yes,59.0,No,Executive,11.0,3.0,2.0,Cat_6,1
459001,Female,No,19.0,No,Marketing,2.552586938083121,1.0,4.0,Cat_6,0
459003,Male,Yes,47.0,Yes,Doctor,0.0,3.0,5.0,Cat_4,2
459005,Male,Yes,61.0,Yes,Doctor,5.0,1.0,3.0,Cat_6,1
459008,Female,Yes,47.0,Yes,Artist,1.0,2.0,3.0,Cat_6,2
459013,Male,Yes,50.0,Yes,Artist,2.0,2.0,4.0,Cat_6,2
459014,Male,No,19.0,No,Healthcare,0.0,1.0,4.0,Cat_6,0
459015,Male,No,22.0,No,Healthcare,0.0,1.0,3.0,Cat_6,0
459016,Female,No,22.0,No,Healthcare,0.0,1.0,6.0,Cat_6,0
459024,Male,Yes,50.0,Yes,Artist,1.0,2.0,5.0,Cat_6,2
459026,Male,No,27.0,No,Healthcare,8.0,1.0,3.0,Cat_3,0
459032,Male,No,18.0,No,Doctor,0.0,1.0,3.0,Cat_6,0
459033,Female,Yes,61.0,Yes,Artist,0.0,1.0,1.0,Cat_6,1
459036,Female,Yes,20.0,Yes,Lawyer,1.0,2.0,3.0,Cat_3,0
459039,Male,Yes,45.0,Yes,Artist,1.0,2.0,2.0,Cat_6,2
459041,Male,Yes,55.0,Yes,Artist,8.0,1.0,1.0,Cat_6,2
459045,Female,Yes,88.0,Yes,Lawyer,1.0,2.0,4.0,Cat_6,1
459056,Male,Yes,63.0,No,Executive,2.552586938083121,3.0,3.0,Cat_6,1
459057,Male,Yes,69.0,No,Lawyer,2.552586938083121,3.0,2.8253778838504378,Cat_6,1
459058,Male,No,42.0,Yes,Artist,0.0,1.0,4.0,Cat_3,2
459059,Male,Yes,79.0,No,Executive,2.552586938083121,3.0,2.0,Cat_6,1
459061,Female,Yes,35.0,Yes,Healthcare,9.0,3.0,3.0,Cat_6,0
459064,Male,Yes,27.0,No,Executive,5.0,3.0,4.0,Cat_6,0
459065,Male,Yes,52.0,Yes,Engineer,2.552586938083121,1.0,2.0,Cat_6,2
459074,Female,No,29.0,Yes,Healthcare,0.0,1.0,4.0,Cat_4,0
459077,Female,Yes,79.0,No,Lawyer,1.0,3.0,2.0,Cat_6,1
459079,Male,Yes,87.0,Yes,Lawyer,2.552586938083121,3.0,2.0,Cat_6,1
459080,Male,Yes,89.0,No,Lawyer,1.0,1.0,2.0,Cat_6,1
459083,Male,Yes,63.0,Yes,Artist,9.0,2.0,3.0,,1
459090,Male,No,31.0,No,Artist,1.0,1.0,2.0,Cat_6,0
459091,Male,Yes,72.0,Yes,Artist,1.0,2.0,6.0,Cat_1,1
459093,Female,Yes,41.0,Yes,Doctor,9.0,2.0,2.0,,2
459100,Female,No,61.0,Yes,Artist,11.0,1.0,1.0,Cat_6,1
459106,Male,Yes,62.0,Yes,Artist,0.0,1.0,2.0,Cat_6,1
459114,Male,Yes,56.0,Yes,Artist,1.0,2.0,2.0,Cat_6,2
459116,Male,Yes,60.0,Yes,Artist,2.0,2.0,5.0,Cat_6,1
459117,Male,Yes,68.0,Yes,Artist,0.0,3.0,2.0,Cat_6,1
459118,Male,No,19.0,No,Healthcare,2.552586938083121,1.0,8.0,Cat_6,0
459119,Male,Yes,57.0,Yes,Executive,8.0,3.0,3.0,Cat_6,2
459120,Male,No,19.0,No,Healthcare,5.0,1.0,5.0,Cat_2,0
459121,Female,Yes,51.0,Yes,Artist,3.0,2.0,6.0,Cat_6,2
459123,Female,Yes,86.0,No,Artist,1.0,3.0,2.0,Cat_6,1
459130,Female,Yes,74.0,No,Lawyer,1.0,3.0,2.0,Cat_6,1
459132,Male,No,23.0,No,Entertainment,6.0,1.0,2.0,Cat_6,0
459136,Male,Yes,47.0,Yes,Artist,0.0,2.0,2.0,Cat_6,2
459140,Female,No,19.0,No,Healthcare,7.0,1.0,6.0,Cat_6,0
459143,Male,Yes,50.0,No,Artist,0.0,3.0,4.0,Cat_6,2
459144,Male,Yes,80.0,Yes,Lawyer,2.552586938083121,3.0,2.0,Cat_6,1
459145,Male,Yes,78.0,No,Lawyer,2.552586938083121,1.0,1.0,Cat_2,1
459150,Female,No,48.0,Yes,Doctor,0.0,1.0,1.0,Cat_6,2
459160,Male,Yes,70.0,Yes,Doctor,1.0,2.0,2.0,Cat_6,1
459161,Male,Yes,50.0,Yes,Executive,3.0,3.0,5.0,Cat_6,2
459162,Female,Yes,83.0,Yes,Lawyer,0.0,3.0,2.0,Cat_6,1
459163,Male,No,35.0,Yes,Entertainment,0.0,1.0,1.0,Cat_6,0
459167,Female,No,36.0,Yes,Artist,0.0,1.0,2.0,Cat_5,2
459170,Female,No,35.0,Yes,Artist,1.0,1.0,1.0,Cat_6,0
459171,Male,Yes,35.0,Yes,Artist,0.0,2.0,2.0,Cat_6,0
459172,Male,No,18.0,No,Healthcare,3.0,1.0,3.0,Cat_2,0
459175,Female,Yes,73.0,Yes,Artist,1.0,2.0,2.0,Cat_6,1
459181,Male,Yes,62.0,No,Artist,1.0,3.0,3.0,Cat_6,1
459182,Female,Yes,46.0,Yes,Artist,1.0,2.0,2.0,Cat_6,2
459184,Male,Yes,43.0,Yes,Entertainment,0.0,1.0,4.0,Cat_4,2
459185,Female,No,32.0,Yes,Entertainment,7.0,1.0,1.0,Cat_6,0
459193,Male,No,39.0,Yes,Artist,0.0,1.0,1.0,Cat_6,2
459194,Female,Yes,89.0,Yes,Lawyer,0.0,3.0,2.0,Cat_6,1
459196,Female,No,18.0,No,Healthcare,0.0,1.0,3.0,Cat_4,0
459208,Female,Yes,57.0,Yes,Artist,0.0,3.0,2.0,Cat_3,2
459209,Female,No,18.0,No,Entertainment,0.0,1.0,4.0,Cat_6,0
459210,Female,Yes,71.0,Yes,Artist,1.0,3.0,2.0,Cat_6,1
459212,Female,Yes,69.0,Yes,Artist,0.0,2.0,2.0,Cat_6,1
459213,Female,No,42.0,Yes,Healthcare,0.0,1.0,4.0,Cat_6,2
459216,Female,No,36.0,Yes,Artist,0.0,1.0,2.0,Cat_6,2
459220,Female,Yes,80.0,Yes,Lawyer,1.0,3.0,2.0,Cat_6,1
459221,Male,Yes,69.0,No,Entertainment,2.552586938083121,1.0,1.0,Cat_6,1
459222,Female,Yes,67.0,Yes,Artist,0.0,2.0,3.0,Cat_6,1
459223,Female,Yes,47.0,Yes,Doctor,1.0,2.0,4.0,Cat_6,2
459224,Female,Yes,49.0,Yes,Artist,0.0,2.0,2.0,Cat_6,2
459227,Female,Yes,32.0,No,Engineer,9.0,1.0,4.0,Cat_6,0
459229,Female,Yes,65.0,Yes,Lawyer,1.0,2.0,4.0,Cat_6,1
459236,Female,Yes,78.0,No,Lawyer,0.0,3.0,2.0,Cat_6,1
459237,Male,No,33.0,Yes,Artist,1.0,1.0,6.0,Cat_6,0
459244,Male,Yes,48.0,Yes,Artist,1.0,1.0,1.0,Cat_6,2
459247,Male,Yes,58.0,Yes,Executive,1.0,2.0,5.0,Cat_6,1
459258,Female,Yes,83.0,Yes,Lawyer,1.0,3.0,2.8253778838504378,Cat_6,1
459263,Female,No,30.0,No,Healthcare,9.0,1.0,4.0,Cat_6,0
459264,Female,No,35.0,Yes,Artist,0.0,1.0,2.0,Cat_6,0
459266,Male,No,32.0,Yes,Healthcare,6.0,1.0,5.0,Cat_6,0
459270,Male,Yes,69.0,Yes,Homemaker,1.0,3.0,2.0,Cat_6,1
459284,Female,Yes,71.0,Yes,Lawyer,1.0,3.0,2.0,Cat_6,1
459287,Male,No,43.0,Yes,Lawyer,0.0,1.0,1.0,Cat_4,2
459288,Male,Yes,37.0,Yes,Artist,0.0,1.0,2.0,Cat_6,2
459289,Male,No,42.0,Yes,Doctor,0.0,1.0,1.0,Cat_6,2
459290,Female,Yes,70.0,Yes,Doctor,1.0,2.0,2.0,Cat_6,1
459292,Male,No,46.0,Yes,Artist,0.0,1.0,2.0,Cat_6,2
459293,Male,No,21.0,No,Healthcare,2.552586938083121,1.0,2.8253778838504378,Cat_1,0
459296,Male,Yes,70.0,Yes,Artist,0.0,2.0,2.0,Cat_6,1
459300,Female,Yes,61.0,Yes,Artist,1.0,1.0,2.8253778838504378,Cat_6,1
459307,Male,Yes,60.0,Yes,Entertainment,1.0,1.0,1.0,Cat_6,1
459310,Male,No,37.0,Yes,Entertainment,0.0,1.0,2.0,Cat_2,2
459316,Male,Yes,30.0,Yes,Healthcare,1.0,1.0,2.0,Cat_6,0
459318,Female,No,32.0,Yes,Engineer,1.0,1.0,3.0,Cat_6,0
459320,Male,Yes,26.0,Yes,Executive,0.0,1.0,3.0,Cat_6,0
459322,Male,No,42.0,Yes,Marketing,0.0,1.0,1.0,Cat_6,2
459323,Female,No,18.0,No,Doctor,2.552586938083121,1.0,2.8253778838504378,Cat_6,0
459338,Male,Yes,80.0,No,Executive,2.552586938083121,1.0,2.8253778838504378,Cat_6,1
459339,Male,Yes,29.0,Yes,Healthcare,8.0,3.0,2.0,Cat_6,0
459344,Female,Yes,88.0,Yes,Artist,1.0,3.0,2.0,Cat_6,1
459347,Male,Yes,70.0,Yes,Lawyer,1.0,1.0,1.0,Cat_6,1
459349,Female,Yes,50.0,Yes,Artist,1.0,3.0,4.0,Cat_6,2
459352,Male,Yes,43.0,Yes,Doctor,4.0,2.0,4.0,Cat_3,2
459353,Male,Yes,51.0,Yes,Artist,6.0,2.0,2.0,Cat_6,2
459354,Female,Yes,50.0,Yes,Artist,2.552586938083121,3.0,3.0,Cat_6,2
459355,Female,Yes,74.0,No,Homemaker,2.552586938083121,1.0,1.0,Cat_6,1
459360,Female,No,29.0,Yes,Healthcare,2.552586938083121,1.0,3.0,Cat_6,0
459361,Female,No,32.0,Yes,Engineer,2.552586938083121,1.0,2.0,Cat_6,0
459362,Male,Yes,60.0,No,Executive,0.0,1.0,2.0,Cat_6,1
459363,Male,No,46.0,Yes,Artist,2.0,1.0,1.0,Cat_6,2
459364,Female,Yes,81.0,Yes,Marketing,0.0,1.0,2.0,Cat_6,1
459369,Male,Yes,41.0,No,Engineer,2.552586938083121,2.0,7.0,Cat_4,2
459375,Male,Yes,22.0,No,Executive,0.0,3.0,4.0,Cat_6,0
459377,Male,Yes,37.0,Yes,Artist,0.0,2.0,3.0,Cat_6,2
459383,Male,Yes,43.0,No,Engineer,0.0,1.0,1.0,Cat_6,2
459384,Male,Yes,50.0,Yes,Artist,1.0,2.0,3.0,Cat_6,2
459385,Female,Yes,35.0,Yes,Artist,1.0,2.0,2.0,Cat_7,0
459386,Male,Yes,65.0,No,Lawyer,1.0,3.0,2.0,Cat_6,1
459391,Female,No,41.0,Yes,Engineer,0.0,1.0,4.0,Cat_6,2
459394,Male,No,28.0,No,Entertainment,8.0,1.0,2.0,Cat_6,0
459397,Male,Yes,55.0,Yes,Artist,4.0,2.0,2.0,Cat_6,2
459398,Female,Yes,58.0,No,Lawyer,2.552586938083121,3.0,2.0,Cat_6,1
459401,Male,No,28.0,No,Healthcare,1.0,1.0,3.0,,0
459403,Male,Yes,48.0,Yes,Artist,2.552586938083121,2.0,4.0,Cat_7,2
459405,Female,Yes,78.0,No,Doctor,1.0,3.0,2.0,Cat_6,1
459407,Female,No,35.0,Yes,Doctor,1.0,1.0,3.0,Cat_6,0
459409,Female,Yes,76.0,Yes,Lawyer,0.0,3.0,2.0,Cat_6,1
459410,Female,Yes,88.0,Yes,Lawyer,1.0,3.0,2.0,Cat_6,1
459412,Male,Yes,61.0,Yes,Artist,1.0,2.0,3.0,Cat_6,1
459413,Female,Yes,79.0,Yes,Artist,2.552586938083121,3.0,2.0,Cat_6,1
459415,Male,No,30.0,No,Doctor,0.0,1.0,4.0,Cat_6,0
459418,Male,Yes,69.0,No,Executive,0.0,3.0,2.0,Cat_6,1
459419,Male,Yes,65.0,Yes,Doctor,1.0,2.0,2.0,Cat_6,1
459420,Female,Yes,70.0,Yes,Lawyer,1.0,1.0,2.0,Cat_6,1
459421,Male,Yes,32.0,No,Healthcare,0.0,2.0,4.0,Cat_6,0
459422,Male,Yes,46.0,Yes,Entertainment,2.552586938083121,1.0,4.0,Cat_6,2
459423,Male,No,21.0,No,Healthcare,8.0,1.0,5.0,Cat_6,0
459424,Male,Yes,47.0,Yes,Doctor,2.552586938083121,1.0,3.0,Cat_6,2
459428,Female,No,39.0,No,Marketing,0.0,1.0,2.0,Cat_4,2
459432,Male,Yes,85.0,Yes,Lawyer,0.0,1.0,3.0,Cat_6,1
459436,Female,No,66.0,Yes,Artist,0.0,1.0,2.0,Cat_6,1
459439,Female,Yes,50.0,Yes,Artist,1.0,2.0,2.0,Cat_6,2
459445,Female,Yes,42.0,Yes,Artist,0.0,2.0,3.0,Cat_6,2
459447,Male,Yes,53.0,Yes,Artist,9.0,1.0,1.0,Cat_6,2
459449,Male,Yes,37.0,Yes,Artist,2.552586938083121,1.0,2.0,Cat_6,2
459451,Female,Yes,45.0,Yes,Artist,1.0,1.0,2.0,Cat_6,2
459456,Female,No,66.0,No,Lawyer,2.552586938083121,1.0,1.0,Cat_6,1
459458,Male,No,33.0,No,Marketing,2.552586938083121,1.0,2.8253778838504378,Cat_6,0
459459,Male,Yes,40.0,Yes,Artist,4.0,1.0,1.0,Cat_6,2
459461,Female,Yes,35.0,Yes,Artist,1.0,1.0,1.0,Cat_1,0
459464,Male,No,27.0,Yes,Artist,2.552586938083121,1.0,2.0,Cat_6,0
459466,Female,Yes,48.0,Yes,Artist,0.0,2.0,3.0,Cat_4,2
459467,Female,Yes,56.0,Yes,Artist,0.0,2.0,2.0,Cat_6,2
459469,Male,Yes,25.0,Yes,Healthcare,2.552586938083121,1.0,6.0,Cat_6,0
459471,Female,No,30.0,No,Artist,2.552586938083121,1.0,8.0,Cat_6,0
459480,Female,Yes,46.0,Yes,Entertainment,7.0,1.0,3.0,Cat_6,2
459481,Male,Yes,49.0,No,Lawyer,0.0,1.0,2.0,Cat_6,2
459482,Male,Yes,72.0,No,Marketing,1.0,1.0,4.0,Cat_6,1
459485,Female,Yes,79.0,Yes,Lawyer,2.552586938083121,3.0,2.0,Cat_6,1
459496,Female,No,35.0,Yes,Artist,2.552586938083121,1.0,3.0,Cat_6,0
459497,Female,Yes,77.0,Yes,Lawyer,0.0,1.0,1.0,Cat_6,1
459499,Female,Yes,79.0,No,Lawyer,2.552586938083121,3.0,2.0,Cat_6,1
